"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void k_argsort_f32_i32<(ggml_sort_order)1>(float const*, int*, int, int)",350,4211036,12031.531429,2.31,7720,31240,3682.047434
"__amd_rocclr_copyBuffer",512,3015477,5889.603516,1.65,2240,20560,2275.018721
"void rms_norm_f32<1024, false, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",725,2801477,3864.106207,1.53,2480,79280,3074.114340
"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float)",500,2223039,4446.078000,1.22,2600,257120,11364.523360
"void unary_gated_op_kernel<&(op_silu(float)), float>(float const*, float const*, float*, long, long, long, long)",700,2032879,2904.112857,1.11,1680,6840,814.523637
"void gated_delta_net_cuda<128, false, false>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",250,1858280,7433.120000,1.02,4960,16480,2137.703762
"void soft_max_f32<true, 256, 256, float>(float const*, float const*, float const*, float*, soft_max_params)",350,1811600,5176.000000,0.9918,2480,17760,1649.831458
"void mul_mat_vec_q<(ggml_type)14, 4, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",66,1752519,26553.318182,0.9594,5160,271839,35488.467140
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",700,1689758,2413.940000,0.9250,1440,4240,533.417700
"void cpy_scalar<&(void cpy_1_scalar<float, float>(char const*, char*))>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)",350,1624680,4641.942857,0.8894,2400,10720,1747.929663
"void mul_mat_vec_q<(ggml_type)14, 2, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",66,1532757,23223.590909,0.8391,5640,53280,16095.553286
"void k_bin_bcast<&(op_div(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",350,1514719,4327.768571,0.8292,2000,170080,10228.089599
"void rope_multi<true, false, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, mrope_sections, bool)",200,1487000,7435.000000,0.8141,2680,16200,4042.440056
"_ZL16k_set_rows_quantIl10block_q8_0Li32ETnPFvPKfPT0_EXadL_ZL23quantize_f32_q8_0_blockS2_PS0_EEEvS2_PKT_S4_llllllllllllll15HIP_vector_typeIjLj3EESC_SC_SC_SC_",200,1485795,7428.975000,0.8134,3160,178960,12313.265359
"void mul_mat_vec_q_moe<(ggml_type)13, 2>(void const*, void const*, int const*, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",30,1418160,47272.000000,0.7764,35680,73760,9692.180424
"void rms_norm_f32<256, false, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",450,1341838,2981.862222,0.7346,1880,5640,778.603229
"void reduce_rows_f32<false>(float const*, float*, int)",350,1206398,3446.851429,0.6604,1960,5520,810.810151
"void unary_op_kernel<&(op_silu(float)), float>(float const*, float*, int)",500,1192319,2384.638000,0.6527,1480,15680,805.504715
"void mul_mat_vec_q_moe<(ggml_type)23, 2>(void const*, void const*, int const*, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",30,1144919,38163.966667,0.6268,31720,52520,6462.114976
"void mul_mat_vec_q_moe<(ggml_type)14, 2>(void const*, void const*, int const*, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",24,1062318,44263.250000,0.5816,34520,64320,7607.765336
"void op_clamp_kernel<float>(float const*, float*, float, float, int)",350,1020600,2916.000000,0.5587,1640,163080,8600.980420
"void unary_op_kernel<&(op_softplus(float)), float>(float const*, float*, int)",250,830199,3320.796000,0.4545,1640,156640,9819.664412
"void ssm_conv_f32<false, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",250,809800,3239.200000,0.4433,2200,6720,885.295857
"void concat_cont<unsigned int, 0>(unsigned int const*, unsigned int const*, unsigned int*, long, long, long, long, long, long)",230,797600,3467.826087,0.4366,1840,12280,1351.152044
"void flash_attn_ext_vec<256, 2, (ggml_type)8, (ggml_type)8, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)",8,373600,46700.000000,0.2045,34600,57880,8704.914868
"void concat_non_cont<unsigned int, 0>(char const*, char const*, char*, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long)",20,355960,17798.000000,0.1949,12600,24280,4304.582136
"__amd_rocclr_fillBufferAligned",7,312280,44611.428571,0.1710,6200,178000,59803.191506
"void mul_mat_vec_q<(ggml_type)8, 2, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",42,312279,7435.214286,0.1710,5720,10480,1143.475224
"void mul_mat_vec_q<(ggml_type)8, 4, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",42,298360,7103.809524,0.1633,4440,10600,1727.302920
"scale_f32(float const*, float*, float, float, long)",40,242840,6071.000000,0.1329,2240,10160,3074.320271
"void mul_mat_vec_f<float, float, 2, 256, false, false>(float const*, float const*, int const*, ggml_cuda_mm_fusion_args_device, float*, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int)",28,221318,7904.214286,0.1212,3959,12920,2918.790622
"void mul_mat_vec_f<float, float, 4, 256, false, false>(float const*, float const*, int const*, ggml_cuda_mm_fusion_args_device, float*, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int)",28,214200,7650.000000,0.1173,4160,13680,2876.121359
